"filename", "language", "TypeScript", "XML", "JavaScript", "JSON with Comments", "JSON", "Markdown", "CSS", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"c:\Users\J4yJ3ff\Desktop\grace\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\J4yJ3ff\Desktop\grace\src\components\watermark.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 3, 39
"c:\Users\J4yJ3ff\Desktop\grace\src\hooks\useCartStore.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 108
"c:\Users\J4yJ3ff\Desktop\grace\src\lib\actions\Newsletter.action.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 71
"c:\Users\J4yJ3ff\Desktop\grace\src\lib\actions\Posts.action.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 29
"c:\Users\J4yJ3ff\Desktop\grace\src\lib\actions\Products.actions.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\J4yJ3ff\Desktop\grace\src\lib\actions\Stripe.action.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 120
"c:\Users\J4yJ3ff\Desktop\grace\src\lib\actions\SubmitForm.action.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"c:\Users\J4yJ3ff\Desktop\grace\src\lib\actions\Users.action.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 109
"c:\Users\J4yJ3ff\Desktop\grace\src\lib\payload.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"c:\Users\J4yJ3ff\Desktop\grace\src\lib\stripe.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\J4yJ3ff\Desktop\grace\src\lib\utils.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\J4yJ3ff\Desktop\grace\tailwind.config.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 63
"c:\Users\J4yJ3ff\Desktop\grace\tsconfig.json", "JSON with Comments", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 1172, 172, 83, 34, 10977, 23, 79, 2517, 0, 60, 504, 15621
